comuna_cod,comite_comision_nombre,comite_comision_etiqueta
1,SANTO DOMINGO 2,C1 - SANTO DOMINGO 2
2,ANDALUCIA,C2 - ANDALUCIA
2,EL PROGRESO SOCIAL,C2 - EL PROGRESO SOCIAL
2,LA FRANCIA,C2 - LA FRANCIA
2,LA FRONTERA,C2 - LA FRONTERA
2,LA ISLA,C2 - LA ISLA
2,MARIA AUXILIADORA,C2 - MARIA AUXILIADORA
2,MOSCU,C2 - MOSCU
2,PABLO VI,C2 - PABLO VI
2,PLAYON DE LOS COMUNEROS,C2 - PLAYON DE LOS COMUNEROS
2,POPULAR # 2,C2 - POPULAR # 2
2,SANTA CRUZ PARTE ALTA,C2 - SANTA CRUZ PARTE ALTA
2,SANTA CRUZ PARTE BAJA,C2 - SANTA CRUZ PARTE BAJA
2,VILLA DEL SOCORRO,C2 - VILLA DEL SOCORRO
2,VILLA NIZA,C2 - VILLA NIZA
3,BARRIOS UNIDOS,C3 - BARRIOS UNIDOS
3,BELLO ORIENTE,C3 - BELLO ORIENTE
3,BELLO ORIENTE JAC,C3 - BELLO ORIENTE JAC
3,EL JARDIN,C3 - EL JARDIN
3,EL RAIZAL,C3 - EL RAIZAL
3,LA CRUZ,C3 - LA CRUZ
3,LA HONDA,C3 - LA HONDA
3,LAS GRANJAS,C3 - LAS GRANJAS
3,MARIA CANO CARAMBOLAS,C3 - MARIA CANO CARAMBOLAS
3,SAN JOSE DE LA CIMA # 1,C3 - SAN JOSE DE LA CIMA # 1
3,SAN JOSE DE LA CIMA # 2,C3 - SAN JOSE DE LA CIMA # 2
3,SANTA INES,C3 - SANTA INES
3,VERSALLES # 1,C3 - VERSALLES # 1
3,VERSALLES # 2,C3 - VERSALLES # 2
3,VERSALLES SUR,C3 - VERSALLES SUR
4,BERLIN # 2,C4 - BERLIN # 2
4,BERLIN # 2 SECTOR SAN NICOLAS,C4 - BERLIN # 2 SECTOR SAN NICOLAS
4,BERLIN PARQUE,C4 - BERLIN PARQUE
4,BRASILIA,C4 - BRASILIA
4,CAMPO VALDES EL CALVARIO,C4 - CAMPO VALDES EL CALVARIO
4,LA MAQUINITA,C4 - LA MAQUINITA
4,LA PINUELA,C4 - LA PINUELA
4,LOS ALAMOS,C4 - LOS ALAMOS
4,MANRIQUE CENTRAL # 1,C4 - MANRIQUE CENTRAL # 1
4,MIRANDA,C4 - MIRANDA
4,MORAVIA EL BOSQUE,C4 - MORAVIA EL BOSQUE
4,MORAVIA ORIENTE,C4 - MORAVIA ORIENTE
4,OASIS,C4 - OASIS
4,PALERMO,C4 - PALERMO
4,SAN ISIDRO LABRADOR,C4 - SAN ISIDRO LABRADOR
4,SEVILLA,C4 - SEVILLA
5,FLORENCIA,C5 - FLORENCIA
6,PEDREGAL,C6 - PEDREGAL
6,PICAHO SECTOR PRIMAVERAL,C6 - PICAHO SECTOR PRIMAVERAL
7,BARRIAL SANTA MARGARITA,C7 - BARRIAL SANTA MARGARITA
7,CCGRD PALENQUE,C7 - CCGRD PALENQUE
7,CORDOBA,C7 - CORDOBA
7,JAC ALTAMIRA,C7 - JAC ALTAMIRA
7,JAC AURES 1,C7 - JAC AURES 1
7,JAC AURES 2,C7 - JAC AURES 2
7,JAC BELLO HORIZONTE,C7 - JAC BELLO HORIZONTE
7,JAC BRISAS DE ROBLEDO,C7 - JAC BRISAS DE ROBLEDO
7,JAC CUCARACHO,C7 - JAC CUCARACHO
7,JAC FUENTE CLARA,C7 - JAC FUENTE CLARA
7,JAC LA CASCADA (PROCESO REMOCION),C7 - JAC LA CASCADA (PROCESO REMOCION)
7,JAC LAS COMETAS,C7 - JAC LAS COMETAS
7,JAC MULTIFAMILIARES LA IGUANA,C7 - JAC MULTIFAMILIARES LA IGUANA
7,JAC PALENQUE,C7 - JAC PALENQUE
7,JAC VILLA CAMPINA,C7 - JAC VILLA CAMPINA
7,JAC VILLA DE LA CANDELARIA,C7 - JAC VILLA DE LA CANDELARIA
7,JAC VILLA FLORA,C7 - JAC VILLA FLORA
7,JAC VILLA SOFIA ETAPA A,C7 - JAC VILLA SOFIA ETAPA A
7,MORADORES DEL TERRITORIO JAC OLAYA HERRERA 1,C7 - MORADORES DEL TERRITORIO JAC OLAYA HERRERA 1
7,NUEVA VILLA DE LA IGUANA,C7 - NUEVA VILLA DE LA IGUANA
7,VILLA FLORA,C7 - VILLA FLORA
7,VILLA SOFIA,C7 - VILLA SOFIA
8,13 DE NOVIEMBRE,C8 - 13 DE NOVIEMBRE
8,ALTOS DE LA TORRE,C8 - ALTOS DE LA TORRE
8,COLINAS DE ENCISO PA,C8 - COLINAS DE ENCISO PA
8,EL FARO,C8 - EL FARO
8,ENCISO PRAGA,C8 - ENCISO PRAGA
8,ESFUERZOS DE PAZ 1,C8 - ESFUERZOS DE PAZ 1
8,ESFUERZOS DE PAZ 2,C8 - ESFUERZOS DE PAZ 2
8,GOLONDRINAS,C8 - GOLONDRINAS
8,JAC EL PINAL,C8 - JAC EL PINAL
8,LA LADERA,C8 - LA LADERA
8,LA LIBERTAD,C8 - LA LIBERTAD
8,LA LIBERTAD 2,C8 - LA LIBERTAD 2
8,LA PLANTA,C8 - LA PLANTA
8,LA PRIMAVERA,C8 - LA PRIMAVERA
8,LA SIERRA,C8 - LA SIERRA
8,LIBERTAD 1,C8 - LIBERTAD 1
8,LLANADITAS,C8 - LLANADITAS
8,LOS MANGOS,C8 - LOS MANGOS
8,ORGANIZACION SOCIAL MESTIZAS,C8 - ORGANIZACION SOCIAL MESTIZAS
8,PARROQUIA SAN FRANCISCO DE ASIS,C8 - PARROQUIA SAN FRANCISCO DE ASIS
8,PERLAS,C8 - PERLAS
8,PINAR DEL CERRO,C8 - PINAR DEL CERRO
8,PINARES DE ORIENTE,C8 - PINARES DE ORIENTE
8,QUINTAS DE LA PLAYA,C8 - QUINTAS DE LA PLAYA
8,SAN ANTONIO,C8 - SAN ANTONIO
8,SANTA LUCIA,C8 - SANTA LUCIA
8,SANTA LUCIA IPUC,C8 - SANTA LUCIA IPUC
8,UNION DE CRISTO,C8 - UNION DE CRISTO
8,VILLA HERMOSA,C8 - VILLA HERMOSA
8,VILLA LILIAM PA,C8 - VILLA LILIAM PA
8,VILLA LILIAM PARTE BAJA,C8 - VILLA LILIAM PARTE BAJA
8,VILLA TURBAY,C8 - VILLA TURBAY
8,VILLATINA,C8 - VILLATINA
9,BARRIO DE JESUS,C9 - BARRIO DE JESUS
9,CAUNCES DE ORIENTE,C9 - CAUNCES DE ORIENTE
9,EL SALVADOR,C9 - EL SALVADOR
9,LORETO,C9 - LORETO
10,BOSTON,C10 - BOSTON
11,NO HAY INFO,C11 - NO HAY INFO
12,SANTA MONICA CAMPO ALEGRE,C12 - SANTA MONICA CAMPO ALEGRE
13,LOS ANGELES,C13 - LOS ANGELES
13,SAN JOSE,C13 - SAN JOSE
14,NO HAY INFO,C14 - NO HAY INFO
15,ASOCOMUNAL 15,C15 - ASOCOMUNAL 15
15,BARRIO SANTA FE SAN PABLO,C15 - BARRIO SANTA FE SAN PABLO
15,BETANIA,C15 - BETANIA
15,CAMPOAMOR,C15 - CAMPOAMOR
15,CRISTO REY,C15 - CRISTO REY
15,EL BOLO,C15 - EL BOLO
15,EL RODEO,C15 - EL RODEO
15,GUAYABAL,C15 - GUAYABAL
15,LA COLINA,C15 - LA COLINA
15,LA COLINITA,C15 - LA COLINITA
15,MALLORCA,C15 - MALLORCA
15,MANZANARES,C15 - MANZANARES
15,SAN RAFAEL,C15 - SAN RAFAEL
15,SANTA FE OLAYA,C15 - SANTA FE OLAYA
15,TRINIDAD,C15 - TRINIDAD
16,COMISION BUENAVISTA,C16 - COMISION BUENAVISTA
16,COMITE DEL RINCON,C16 - COMITE DEL RINCON
50,LA POTRERA,C50 - LA POTRERA
60,LA MONTANA,C60 - LA MONTANA
60,PALMA MEDIA,C60 - PALMA MEDIA
60,PARAISO,C60 - PARAISO
60,ROBLEMAR,C60 - ROBLEMAR
60,URBANIZACION PUERTA DEL SOL,C60 - URBANIZACION PUERTA DEL SOL
70,BUGA,C70 - BUGA
70,CENTRALIDAD,C70 - CENTRALIDAD
70,EL LIMONAR,C70 - EL LIMONAR
80,COMITE CENTRAL,C80 - COMITE CENTRAL
80,JAC EL LIMONAR 2,C80 - JAC EL LIMONAR 2
80,JAC LA VERDE,C80 - JAC LA VERDE
80,JAC LIMONAR 1,C80 - JAC LIMONAR 1
80,JAC LOS SALINAS,C80 - JAC LOS SALINAS
80,JAC PORTON LIMONAR,C80 - JAC PORTON LIMONAR
80,JAC PRADITO PARTE ALTA,C80 - JAC PRADITO PARTE ALTA
80,JAC PRADITO PARTE BAJA,C80 - JAC PRADITO PARTE BAJA
80,JAC ROSALEDA,C80 - JAC ROSALEDA
80,JAC URBANIZACION ARAGON,C80 - JAC URBANIZACION ARAGON
80,JAC VERGEL SECTOR CANTARRANA,C80 - JAC VERGEL SECTOR CANTARRANA
80,JAC VERGEL SECTOR CENTRO,C80 - JAC VERGEL SECTOR CENTRO
80,JAC VERGEL SUR,C80 - JAC VERGEL SUR
80,JAC VILLA PALLAVECINI,C80 - JAC VILLA PALLAVECINI
80,VAPES,C80 - VAPES
80,VEREDA ASTILLEROS,C80 - VEREDA ASTILLEROS
90,ACUEDUCTO LAS FLORES,C90 - ACUEDUCTO LAS FLORES
90,ACUEDUCTO MAZO,C90 - ACUEDUCTO MAZO
90,ACUEDUCTO MEDIA LUNA,C90 - ACUEDUCTO MEDIA LUNA
90,ACUEDUCTO MULTIVEREDAL,C90 - ACUEDUCTO MULTIVEREDAL
90,ACUEDUCTO PIEDRAS BLANCAS,C90 - ACUEDUCTO PIEDRAS BLANCAS
90,ACUEDUCTO SAN PEDRO,C90 - ACUEDUCTO SAN PEDRO
90,COSSE,C90 - COSSE
90,FLORES DE ORIENTE,C90 - FLORES DE ORIENTE
90,LOS VASQUEZ,C90 - LOS VASQUEZ
90,MAZO,C90 - MAZO
90,MEDIA LUNA- LA PALMA,C90 - MEDIA LUNA- LA PALMA
