id_actividad,fila_origen,fecha,instancia,comuna_cod,comuna_educacion_cod,comuna_institucion_educativa_cod,publico_educacion,nivel_educativo,institucion_educativa,institucion_educativa_norm,bloque_educacion,hint_superior_por_texto,es_excepcion_forzada_media
1355,1356,2025-02-28,Educativo,60,60.0,60.0,Estudiantes,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
1499,1500,2025-03-19,Educativo,60,60.0,60.0,Docentes - Directivos docentes del Establecimiento educativo,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
1520,1521,2025-03-20,Educativo,60,60.0,60.0,Docentes - Directivos docentes del Establecimiento educativo,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
1561,1562,2025-03-26,Educativo,99,60.0,60.0,Estudiantes,Superior,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,True,True
1678,1679,2025-04-09,Educativo,99,60.0,60.0,Estudiantes,Otros,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
1679,1680,2025-04-09,Educativo,60,60.0,60.0,Estudiantes,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
1791,1792,2025-04-30,Educativo,60,60.0,60.0,Estudiantes,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
1874,1875,2025-05-14,Educativo,60,60.0,60.0,Comunidad educativa en general,Otros,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
1875,1876,2025-05-14,Educativo,60,60.0,60.0,Estudiantes,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
1910,1911,2025-05-21,Educativo,99,60.0,60.0,Comunidad educativa en general,Superior,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,True,True
1930,1931,2025-05-22,Educativo,60,60.0,60.0,Estudiantes,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
1997,1998,2025-06-04,Educativo,60,60.0,60.0,Estudiantes,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
2021,2022,2025-06-07,Educativo,60,60.0,60.0,Estudiantes,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
2285,2286,2025-07-18,Educativo,60,60.0,60.0,Docentes - Directivos docentes del Establecimiento educativo,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
2384,2385,2025-07-30,Educativo,60,60.0,60.0,Estudiantes,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
2457,2458,2025-08-12,Educativo,60,60.0,60.0,Estudiantes,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
2679,2680,2025-09-12,Educativo,60,60.0,60.0,Estudiantes,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
2723,2724,2025-09-19,Educativo,60,60.0,60.0,Estudiantes,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
2858,2859,2025-10-14,Educativo,60,60.0,60.0,Estudiantes,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
2906,2907,2025-10-21,Educativo,60,60.0,60.0,Docentes - Directivos docentes del Establecimiento educativo,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
3049,3050,2025-11-13,Educativo,60,60.0,60.0,Estudiantes,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
3122,3123,2025-11-25,Educativo,60,60.0,60.0,Estudiantes,Otros,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
290,3473,2026-03-11,Educativo,60,60.0,60.0,Docentes - Directivos docentes del Establecimiento educativo,Básica/Media,IE CIUDADELA NUEVO OCCIDENTE,IE CIUDADELA NUEVO OCCIDENTE,Basica Media,False,True
1695,1696,2025-04-11,Educativo,7,7.0,7.0,Docentes - Directivos docentes del Establecimiento educativo,Básica/Media,INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO,INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO,Basica Media,True,True
1863,1864,2025-05-13,Educativo,7,7.0,7.0,Docentes - Directivos docentes del Establecimiento educativo,Básica/Media,INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO,INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO,Basica Media,True,True
2559,2560,2025-08-26,Educativo,7,7.0,7.0,Docentes - Directivos docentes del Establecimiento educativo,Básica/Media,INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO,INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO,Basica Media,True,True
2916,2917,2025-10-22,Educativo,7,7.0,7.0,Comunidad educativa en general,Básica/Media,INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO,INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO,Basica Media,True,True
10,3193,2026-01-22,Educativo,7,7.0,7.0,Docentes - Directivos docentes del Establecimiento educativo,Básica/Media,INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO,INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO,Basica Media,True,True
1807,1808,2025-05-02,Educativo,7,7.0,7.0,Comunidad educativa en general,Otros,IU COLMAYOR,IU COLMAYOR,Educacion Superior,True,False
3019,3020,2025-11-07,Educativo,8,7.0,7.0,Estudiantes,Otros,IU COLMAYOR,IU COLMAYOR,Educacion Superior,True,False
1296,1297,2025-02-20,Educativo,7,7.0,7.0,Docentes - Directivos docentes del Establecimiento educativo,Básica/Media,IU PASCUAL BRAVO,IU PASCUAL BRAVO,Educacion Superior,True,False
2318,2319,2025-07-22,Educativo,7,7.0,7.0,Docentes - Directivos docentes del Establecimiento educativo,Otros,IU PASCUAL BRAVO,IU PASCUAL BRAVO,Educacion Superior,True,False
2140,2141,2025-07-01,Educativo,10,10.0,10.0,Docentes - Directivos docentes del Establecimiento educativo,Otros,SENA,SENA,Educacion Superior,True,False
2171,2172,2025-07-04,Educativo,10,10.0,10.0,Docentes - Directivos docentes del Establecimiento educativo,Otros,SENA,SENA,Educacion Superior,True,False
2920,2921,2025-10-22,Educativo,11,11.0,11.0,Comunidad educativa en general,Otros,UNIVERSIDAD PONTIFICIA BOLIVARIANA,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Educacion Superior,True,False
283,284,2024-08-08,Educativo,8,,,,Superior,,,Educacion Superior,True,False
496,497,2024-09-16,Educativo,14,,,,Superior,,,Educacion Superior,True,False
497,498,2024-09-16,Educativo,14,,,,Superior,,,Educacion Superior,True,False
614,615,2024-10-02,Educativo,99,,,,Superior,,,Educacion Superior,True,False
904,905,2024-11-18,Educativo,99,,,,Superior,,,Educacion Superior,True,False
1736,1737,2025-04-22,Educativo,99,7.0,7.0,Docentes - Directivos docentes del Establecimiento educativo,Superior,TODAS LAS IEs DE LA COMUNA - CORREGIMIENTO,,Educacion Superior,True,False
